Processo;Tipo;Numero;Ano;Ementa;Autor;Relator;Data_Tramitação;Local_Tramitação;Origem_Tramitação;Data_TI;Local_TI;Estado;Dias na Comissão;Dias no Estado Atual
PLO 0090/2026;PLO;0090;2026;Projeto de PLO nº 0090/2026 - Descrição do projeto número 90;Ver. CRIS MONTERO (Novo);Ver. EDISON SANTOS (PDT);09/04/2026 00:00:00;FIN;Recebido de SGP41;14/01/2026 00:00;Secretaria (SGP52);Aguardando Notas Taquigráficas;24;12
PDL 0091/2026;PDL;0091;2026;Projeto de PDL nº 0091/2026 - Descrição do projeto número 91;Ver. LUNA ZARATTINI (PT);Ver. JOSÉ POLICE NETO (PSDB);20/04/2026 00:00:00;FIN;Recebido de SGP68;14/02/2026 00:00;Secretaria (SGP64);Recebido;12;9
PR 0092/2026;PR;0092;2026;Projeto de PR nº 0092/2026 - Descrição do projeto número 92;Ver. DELEGADO JOÃO PAULO (PSD);Sem Relator Designado;18/04/2026 00:00:00;FIN;Recebido de SGP90;23/02/2026 00:00;Secretaria (SGP99);Em votação;119;14
PDL 0093/2026;PDL;0093;2026;Projeto de PDL nº 0093/2026 - Descrição do projeto número 93;Ver. TONINHO PAIVA (REPUBLICANOS);Ver. FERNANDO HOLIDAY (Constituinte Exclusivo);24/02/2026 00:00:00;FIN;Recebido de SGP23;01/04/2026 00:00;Secretaria (SGP84);Aguardando Pareceres;53;8
PL 0094/2026;PL;0094;2026;Projeto de PL nº 0094/2026 - Descrição do projeto número 94;Ver. CRIS MONTERO (Novo);Ver. EDISON SANTOS (PDT);06/02/2026 00:00:00;FIN;Recebido de SGP91;28/01/2026 00:00;Secretaria (SGP57);Recebido;91;27
PLO 0095/2026;PLO;0095;2026;Projeto de PLO nº 0095/2026 - Descrição do projeto número 95;Ver. EDISON SANTOS (PDT);Ver. MILTON COELHO (PP);10/02/2026 00:00:00;FIN;Recebido de SGP55;09/03/2026 00:00;Secretaria (SGP32);Aprovado;57;29
PDL 0096/2026;PDL;0096;2026;Projeto de PDL nº 0096/2026 - Descrição do projeto número 96;Ver. FERNANDO HOLIDAY (Constituinte Exclusivo);Ver. KEIT LIMA (PSOL);10/03/2026 00:00:00;FIN;Recebido de SGP20;13/01/2026 00:00;Secretaria (SGP10);Aguardando Pareceres;5;11
PLO 0097/2026;PLO;0097;2026;Projeto de PLO nº 0097/2026 - Descrição do projeto número 97;Ver. FERNANDO HOLIDAY (Constituinte Exclusivo);Ver. SONINHA FRANCISCHINI (PL);06/04/2026 00:00:00;FIN;Recebido de SGP63;09/03/2026 00:00;Secretaria (SGP56);Aguardando Notas Taquigráficas;112;20
PDL 0098/2026;PDL;0098;2026;Projeto de PDL nº 0098/2026 - Descrição do projeto número 98;Ver. SONINHA FRANCISCHINI (PL);Ver. TONINHO PAIVA (REPUBLICANOS);31/05/2026 00:00:00;FIN;Recebido de SGP48;16/01/2026 00:00;Secretaria (SGP41);Em votação;89;12
PR 0099/2026;PR;0099;2026;Projeto de PR nº 0099/2026 - Descrição do projeto número 99;Ver. EDISON SANTOS (PDT);Ver. SONINHA FRANCISCHINI (PL);09/03/2026 00:00:00;FIN;Recebido de SGP69;05/02/2026 00:00;Secretaria (SGP17);Em votação;42;24
PLO 0100/2026;PLO;0100;2026;Projeto de PLO nº 0100/2026 - Descrição do projeto número 100;Ver. DELEGADO JOÃO PAULO (PSD);Ver. FERNANDO HOLIDAY (Constituinte Exclusivo);16/05/2026 00:00:00;FIN;Recebido de SGP48;13/03/2026 00:00;Secretaria (SGP67);Recebido;89;4
PR 0101/2026;PR;0101;2026;Projeto de PR nº 0101/2026 - Descrição do projeto número 101;Ver. EDISON SANTOS (PDT);Ver. JOSÉ POLICE NETO (PSDB);25/05/2026 00:00:00;FIN;Recebido de SGP27;14/02/2026 00:00;Secretaria (SGP23);Aguardando Pareceres;12;20
PR 0102/2026;PR;0102;2026;Projeto de PR nº 0102/2026 - Descrição do projeto número 102;Ver. EDISON SANTOS (PDT);Ver. MILTON COELHO (PP);04/02/2026 00:00:00;FIN;Recebido de SGP79;10/03/2026 00:00;Secretaria (SGP52);Rejeitado;84;9
PR 0103/2026;PR;0103;2026;Projeto de PR nº 0103/2026 - Descrição do projeto número 103;Ver. JOSÉ POLICE NETO (PSDB);Ver. FERNANDO HOLIDAY (Constituinte Exclusivo);20/01/2026 00:00:00;FIN;Recebido de SGP72;09/01/2026 00:00;Secretaria (SGP97);Rejeitado;7;15
PR 0104/2026;PR;0104;2026;Projeto de PR nº 0104/2026 - Descrição do projeto número 104;Ver. FERNANDO HOLIDAY (Constituinte Exclusivo);Ver. KEIT LIMA (PSOL);28/05/2026 00:00:00;FIN;Recebido de SGP80;27/02/2026 00:00;Secretaria (SGP75);Em votação;68;2
PLO 0105/2026;PLO;0105;2026;Projeto de PLO nº 0105/2026 - Descrição do projeto número 105;Ver. JOSÉ POLICE NETO (PSDB);Ver. JOSÉ POLICE NETO (PSDB);05/01/2026 00:00:00;FIN;Recebido de SGP64;28/05/2026 00:00;Secretaria (SGP13);Em votação;90;21
PLO 0106/2026;PLO;0106;2026;Projeto de PLO nº 0106/2026 - Descrição do projeto número 106;Ver. JOSÉ POLICE NETO (PSDB);Ver. EDISON SANTOS (PDT);06/03/2026 00:00:00;FIN;Recebido de SGP78;22/03/2026 00:00;Secretaria (SGP20);Encaminhado para Análise;49;19
PLO 0107/2026;PLO;0107;2026;Projeto de PLO nº 0107/2026 - Descrição do projeto número 107;Ver. DELEGADO JOÃO PAULO (PSD);Ver. KEIT LIMA (PSOL);13/05/2026 00:00:00;FIN;Recebido de SGP38;13/05/2026 00:00;Secretaria (SGP78);Aprovado;7;2
PL 0108/2026;PL;0108;2026;Projeto de PL nº 0108/2026 - Descrição do projeto número 108;Ver. EDISON SANTOS (PDT);Ver. SONINHA FRANCISCHINI (PL);22/05/2026 00:00:00;FIN;Recebido de SGP75;02/05/2026 00:00;Secretaria (SGP26);Aguardando Notas Taquigráficas;19;29
PR 0109/2026;PR;0109;2026;Projeto de PR nº 0109/2026 - Descrição do projeto número 109;Ver. LUNA ZARATTINI (PT);Ver. TONINHO PAIVA (REPUBLICANOS);11/05/2026 00:00:00;FIN;Recebido de SGP63;20/05/2026 00:00;Secretaria (SGP65);Aprovado;75;7
PL 0110/2026;PL;0110;2026;Projeto de PL nº 0110/2026 - Descrição do projeto número 110;Ver. FERNANDO HOLIDAY (Constituinte Exclusivo);Ver. SONINHA FRANCISCHINI (PL);15/02/2026 00:00:00;FIN;Recebido de SGP36;25/03/2026 00:00;Secretaria (SGP20);Rejeitado;64;16
PR 0111/2026;PR;0111;2026;Projeto de PR nº 0111/2026 - Descrição do projeto número 111;Ver. JOSÉ POLICE NETO (PSDB);Ver. JOSÉ POLICE NETO (PSDB);23/04/2026 00:00:00;FIN;Recebido de SGP50;24/05/2026 00:00;Secretaria (SGP92);Aguardando Notas Taquigráficas;96;14
PDL 0112/2026;PDL;0112;2026;Projeto de PDL nº 0112/2026 - Descrição do projeto número 112;Ver. DELEGADO JOÃO PAULO (PSD);Ver. TONINHO PAIVA (REPUBLICANOS);11/03/2026 00:00:00;FIN;Recebido de SGP29;26/01/2026 00:00;Secretaria (SGP48);Em votação;21;1
PLO 0113/2026;PLO;0113;2026;Projeto de PLO nº 0113/2026 - Descrição do projeto número 113;Ver. EDISON SANTOS (PDT);Ver. TONINHO PAIVA (REPUBLICANOS);21/01/2026 00:00:00;FIN;Recebido de SGP88;23/03/2026 00:00;Secretaria (SGP39);Em votação;86;22
PDL 0114/2026;PDL;0114;2026;Projeto de PDL nº 0114/2026 - Descrição do projeto número 114;Ver. LUNA ZARATTINI (PT);Ver. JOSÉ POLICE NETO (PSDB);19/01/2026 00:00:00;FIN;Recebido de SGP43;13/05/2026 00:00;Secretaria (SGP91);Encaminhado para Análise;19;1
PDL 0115/2026;PDL;0115;2026;Projeto de PDL nº 0115/2026 - Descrição do projeto número 115;Ver. CRIS MONTERO (Novo);Ver. LUNA ZARATTINI (PT);06/01/2026 00:00:00;FIN;Recebido de SGP59;05/01/2026 00:00;Secretaria (SGP60);Aprovado;31;3
PLO 0116/2026;PLO;0116;2026;Projeto de PLO nº 0116/2026 - Descrição do projeto número 116;Ver. TONINHO PAIVA (REPUBLICANOS);Ver. FERNANDO HOLIDAY (Constituinte Exclusivo);29/01/2026 00:00:00;FIN;Recebido de SGP83;11/01/2026 00:00;Secretaria (SGP80);Aguardando Notas Taquigráficas;97;10
PDL 0117/2026;PDL;0117;2026;Projeto de PDL nº 0117/2026 - Descrição do projeto número 117;Ver. JOSÉ POLICE NETO (PSDB);Ver. TONINHO PAIVA (REPUBLICANOS);23/05/2026 00:00:00;FIN;Recebido de SGP74;26/03/2026 00:00;Secretaria (SGP18);Aguardando Notas Taquigráficas;99;25
PLO 0118/2026;PLO;0118;2026;Projeto de PLO nº 0118/2026 - Descrição do projeto número 118;Ver. FERNANDO HOLIDAY (Constituinte Exclusivo);Ver. JOSÉ POLICE NETO (PSDB);16/04/2026 00:00:00;FIN;Recebido de SGP55;24/04/2026 00:00;Secretaria (SGP22);Aguardando Pareceres;41;9
PR 0119/2026;PR;0119;2026;Projeto de PR nº 0119/2026 - Descrição do projeto número 119;Ver. EDISON SANTOS (PDT);Ver. KEIT LIMA (PSOL);21/05/2026 00:00:00;FIN;Recebido de SGP65;27/01/2026 00:00;Secretaria (SGP25);Recebido;4;14
PDL 0120/2026;PDL;0120;2026;Projeto de PDL nº 0120/2026 - Descrição do projeto número 120;Ver. CRIS MONTERO (Novo);Sem Relator Designado;05/02/2026 00:00:00;FIN;Recebido de SGP98;19/05/2026 00:00;Secretaria (SGP98);Encaminhado para Análise;4;13
PL 0121/2026;PL;0121;2026;Projeto de PL nº 0121/2026 - Descrição do projeto número 121;Ver. TONINHO PAIVA (REPUBLICANOS);Ver. MILTON COELHO (PP);26/03/2026 00:00:00;FIN;Recebido de SGP32;28/03/2026 00:00;Secretaria (SGP47);Estudo para manifestação do relator;6;4
PL 0122/2026;PL;0122;2026;Projeto de PL nº 0122/2026 - Descrição do projeto número 122;Ver. CRIS MONTERO (Novo);Ver. FERNANDO HOLIDAY (Constituinte Exclusivo);23/05/2026 00:00:00;FIN;Recebido de SGP96;15/05/2026 00:00;Secretaria (SGP92);Aguardando Pareceres;68;20
PDL 0123/2026;PDL;0123;2026;Projeto de PDL nº 0123/2026 - Descrição do projeto número 123;Ver. EDISON SANTOS (PDT);Ver. SONINHA FRANCISCHINI (PL);01/03/2026 00:00:00;FIN;Recebido de SGP29;01/03/2026 00:00;Secretaria (SGP47);Aprovado;96;8
PLO 0124/2026;PLO;0124;2026;Projeto de PLO nº 0124/2026 - Descrição do projeto número 124;Ver. LUNA ZARATTINI (PT);Ver. LUNA ZARATTINI (PT);27/01/2026 00:00:00;FIN;Recebido de SGP93;06/02/2026 00:00;Secretaria (SGP86);Aguardando Notas Taquigráficas;9;23
PR 0125/2026;PR;0125;2026;Projeto de PR nº 0125/2026 - Descrição do projeto número 125;Ver. JOSÉ POLICE NETO (PSDB);Ver. TONINHO PAIVA (REPUBLICANOS);13/04/2026 00:00:00;FIN;Recebido de SGP60;23/03/2026 00:00;Secretaria (SGP92);Aguardando Pareceres;15;0
PDL 0126/2026;PDL;0126;2026;Projeto de PDL nº 0126/2026 - Descrição do projeto número 126;Ver. JOSÉ POLICE NETO (PSDB);Ver. EDISON SANTOS (PDT);21/01/2026 00:00:00;FIN;Recebido de SGP90;27/05/2026 00:00;Secretaria (SGP28);Em votação;118;16
PDL 0127/2026;PDL;0127;2026;Projeto de PDL nº 0127/2026 - Descrição do projeto número 127;Ver. LUNA ZARATTINI (PT);Ver. TONINHO PAIVA (REPUBLICANOS);13/02/2026 00:00:00;FIN;Recebido de SGP57;06/03/2026 00:00;Secretaria (SGP35);Rejeitado;90;11
PR 0128/2026;PR;0128;2026;Projeto de PR nº 0128/2026 - Descrição do projeto número 128;Ver. CRIS MONTERO (Novo);Ver. MILTON COELHO (PP);08/05/2026 00:00:00;FIN;Recebido de SGP19;20/02/2026 00:00;Secretaria (SGP85);Aprovado;34;3
PLO 0129/2026;PLO;0129;2026;Projeto de PLO nº 0129/2026 - Descrição do projeto número 129;Ver. CRIS MONTERO (Novo);Ver. FERNANDO HOLIDAY (Constituinte Exclusivo);15/04/2026 00:00:00;FIN;Recebido de SGP48;27/01/2026 00:00;Secretaria (SGP99);Rejeitado;79;10
PL 0130/2026;PL;0130;2026;Projeto de PL nº 0130/2026 - Descrição do projeto número 130;Ver. FERNANDO HOLIDAY (Constituinte Exclusivo);Ver. TONINHO PAIVA (REPUBLICANOS);19/02/2026 00:00:00;FIN;Recebido de SGP89;18/04/2026 00:00;Secretaria (SGP48);Rejeitado;50;16
PLO 0131/2026;PLO;0131;2026;Projeto de PLO nº 0131/2026 - Descrição do projeto número 131;Ver. CRIS MONTERO (Novo);Ver. LUNA ZARATTINI (PT);29/04/2026 00:00:00;FIN;Recebido de SGP89;19/04/2026 00:00;Secretaria (SGP60);Aprovado;56;12
PL 0132/2026;PL;0132;2026;Projeto de PL nº 0132/2026 - Descrição do projeto número 132;Ver. LUNA ZARATTINI (PT);Ver. JOSÉ POLICE NETO (PSDB);24/03/2026 00:00:00;FIN;Recebido de SGP42;14/02/2026 00:00;Secretaria (SGP55);Recebido;116;16
PLO 0133/2026;PLO;0133;2026;Projeto de PLO nº 0133/2026 - Descrição do projeto número 133;Ver. SONINHA FRANCISCHINI (PL);Ver. FERNANDO HOLIDAY (Constituinte Exclusivo);10/04/2026 00:00:00;FIN;Recebido de SGP50;16/01/2026 00:00;Secretaria (SGP82);Estudo para manifestação do relator;97;9
PDL 0134/2026;PDL;0134;2026;Projeto de PDL nº 0134/2026 - Descrição do projeto número 134;Ver. CRIS MONTERO (Novo);Ver. SONINHA FRANCISCHINI (PL);06/05/2026 00:00:00;FIN;Recebido de SGP81;07/01/2026 00:00;Secretaria (SGP68);Recebido;67;28
PDL 0135/2026;PDL;0135;2026;Projeto de PDL nº 0135/2026 - Descrição do projeto número 135;Ver. LUNA ZARATTINI (PT);Ver. LUNA ZARATTINI (PT);07/03/2026 00:00:00;FIN;Recebido de SGP98;12/02/2026 00:00;Secretaria (SGP55);Aguardando Notas Taquigráficas;38;4
PR 0136/2026;PR;0136;2026;Projeto de PR nº 0136/2026 - Descrição do projeto número 136;Ver. JOSÉ POLICE NETO (PSDB);Ver. TONINHO PAIVA (REPUBLICANOS);12/03/2026 00:00:00;FIN;Recebido de SGP55;16/05/2026 00:00;Secretaria (SGP89);Aguardando Notas Taquigráficas;83;16
PDL 0137/2026;PDL;0137;2026;Projeto de PDL nº 0137/2026 - Descrição do projeto número 137;Ver. SONINHA FRANCISCHINI (PL);Ver. JOSÉ POLICE NETO (PSDB);01/03/2026 00:00:00;FIN;Recebido de SGP70;27/05/2026 00:00;Secretaria (SGP78);Aprovado;107;7
PDL 0138/2026;PDL;0138;2026;Projeto de PDL nº 0138/2026 - Descrição do projeto número 138;Ver. EDISON SANTOS (PDT);Ver. FERNANDO HOLIDAY (Constituinte Exclusivo);23/04/2026 00:00:00;FIN;Recebido de SGP61;08/03/2026 00:00;Secretaria (SGP58);Estudo para manifestação do relator;78;17
PLO 0139/2026;PLO;0139;2026;Projeto de PLO nº 0139/2026 - Descrição do projeto número 139;Ver. SONINHA FRANCISCHINI (PL);Sem Relator Designado;30/03/2026 00:00:00;FIN;Recebido de SGP89;25/03/2026 00:00;Secretaria (SGP63);Recebido;52;3
PDL 0140/2026;PDL;0140;2026;Projeto de PDL nº 0140/2026 - Descrição do projeto número 140;Ver. EDISON SANTOS (PDT);Ver. FERNANDO HOLIDAY (Constituinte Exclusivo);11/05/2026 00:00:00;FIN;Recebido de SGP55;31/05/2026 00:00;Secretaria (SGP54);Aprovado;101;3
PLO 0141/2026;PLO;0141;2026;Projeto de PLO nº 0141/2026 - Descrição do projeto número 141;Ver. EDISON SANTOS (PDT);Ver. FERNANDO HOLIDAY (Constituinte Exclusivo);01/03/2026 00:00:00;FIN;Recebido de SGP80;12/03/2026 00:00;Secretaria (SGP12);Rejeitado;107;1
PDL 0142/2026;PDL;0142;2026;Projeto de PDL nº 0142/2026 - Descrição do projeto número 142;Ver. TONINHO PAIVA (REPUBLICANOS);Ver. KEIT LIMA (PSOL);11/04/2026 00:00:00;FIN;Recebido de SGP62;27/03/2026 00:00;Secretaria (SGP46);Aprovado;29;17
PLO 0143/2026;PLO;0143;2026;Projeto de PLO nº 0143/2026 - Descrição do projeto número 143;Ver. EDISON SANTOS (PDT);Ver. TONINHO PAIVA (REPUBLICANOS);15/05/2026 00:00:00;FIN;Recebido de SGP12;18/04/2026 00:00;Secretaria (SGP68);Aprovado;15;3
PDL 0144/2026;PDL;0144;2026;Projeto de PDL nº 0144/2026 - Descrição do projeto número 144;Ver. DELEGADO JOÃO PAULO (PSD);Ver. EDISON SANTOS (PDT);20/01/2026 00:00:00;FIN;Recebido de SGP29;02/02/2026 00:00;Secretaria (SGP74);Em votação;105;5
PL 0145/2026;PL;0145;2026;Projeto de PL nº 0145/2026 - Descrição do projeto número 145;Ver. JOSÉ POLICE NETO (PSDB);Ver. JOSÉ POLICE NETO (PSDB);16/02/2026 00:00:00;FIN;Recebido de SGP13;04/01/2026 00:00;Secretaria (SGP64);Aguardando Notas Taquigráficas;41;13
PR 0146/2026;PR;0146;2026;Projeto de PR nº 0146/2026 - Descrição do projeto número 146;Ver. SONINHA FRANCISCHINI (PL);Ver. TONINHO PAIVA (REPUBLICANOS);12/01/2026 00:00:00;FIN;Recebido de SGP88;18/04/2026 00:00;Secretaria (SGP62);Aguardando Pareceres;102;3
PR 0147/2026;PR;0147;2026;Projeto de PR nº 0147/2026 - Descrição do projeto número 147;Ver. SONINHA FRANCISCHINI (PL);Ver. EDISON SANTOS (PDT);12/02/2026 00:00:00;FIN;Recebido de SGP88;14/01/2026 00:00;Secretaria (SGP61);Aprovado;32;22
PR 0148/2026;PR;0148;2026;Projeto de PR nº 0148/2026 - Descrição do projeto número 148;Ver. JOSÉ POLICE NETO (PSDB);Ver. KEIT LIMA (PSOL);12/04/2026 00:00:00;FIN;Recebido de SGP92;28/03/2026 00:00;Secretaria (SGP21);Rejeitado;23;1
PL 0149/2026;PL;0149;2026;Projeto de PL nº 0149/2026 - Descrição do projeto número 149;Ver. FERNANDO HOLIDAY (Constituinte Exclusivo);Ver. FERNANDO HOLIDAY (Constituinte Exclusivo);15/03/2026 00:00:00;FIN;Recebido de SGP91;13/04/2026 00:00;Secretaria (SGP73);Aguardando Notas Taquigráficas;87;0
PR 0150/2026;PR;0150;2026;Projeto de PR nº 0150/2026 - Descrição do projeto número 150;Ver. TONINHO PAIVA (REPUBLICANOS);Ver. FERNANDO HOLIDAY (Constituinte Exclusivo);30/04/2026 00:00:00;FIN;Recebido de SGP76;22/04/2026 00:00;Secretaria (SGP57);Aprovado;15;0
PR 0151/2026;PR;0151;2026;Projeto de PR nº 0151/2026 - Descrição do projeto número 151;Ver. CRIS MONTERO (Novo);Ver. EDISON SANTOS (PDT);31/03/2026 00:00:00;FIN;Recebido de SGP24;16/03/2026 00:00;Secretaria (SGP44);Aprovado;16;9
PR 0152/2026;PR;0152;2026;Projeto de PR nº 0152/2026 - Descrição do projeto número 152;Ver. EDISON SANTOS (PDT);Ver. LUNA ZARATTINI (PT);25/03/2026 00:00:00;FIN;Recebido de SGP62;25/02/2026 00:00;Secretaria (SGP59);Aguardando Pareceres;106;7
PDL 0153/2026;PDL;0153;2026;Projeto de PDL nº 0153/2026 - Descrição do projeto número 153;Ver. CRIS MONTERO (Novo);Ver. JOSÉ POLICE NETO (PSDB);22/03/2026 00:00:00;FIN;Recebido de SGP24;10/01/2026 00:00;Secretaria (SGP42);Rejeitado;26;0
PDL 0154/2026;PDL;0154;2026;Projeto de PDL nº 0154/2026 - Descrição do projeto número 154;Ver. SONINHA FRANCISCHINI (PL);Ver. MILTON COELHO (PP);21/03/2026 00:00:00;FIN;Recebido de SGP97;18/02/2026 00:00;Secretaria (SGP99);Rejeitado;25;7
PR 0155/2026;PR;0155;2026;Projeto de PR nº 0155/2026 - Descrição do projeto número 155;Ver. SONINHA FRANCISCHINI (PL);Ver. MILTON COELHO (PP);17/01/2026 00:00:00;FIN;Recebido de SGP36;23/05/2026 00:00;Secretaria (SGP22);Aprovado;73;13
PR 0156/2026;PR;0156;2026;Projeto de PR nº 0156/2026 - Descrição do projeto número 156;Ver. JOSÉ POLICE NETO (PSDB);Ver. KEIT LIMA (PSOL);02/05/2026 00:00:00;FIN;Recebido de SGP86;01/01/2026 00:00;Secretaria (SGP39);Rejeitado;81;20
PLO 0157/2026;PLO;0157;2026;Projeto de PLO nº 0157/2026 - Descrição do projeto número 157;Ver. CRIS MONTERO (Novo);Ver. EDISON SANTOS (PDT);03/05/2026 00:00:00;FIN;Recebido de SGP77;20/02/2026 00:00;Secretaria (SGP25);Aprovado;20;20
PL 0158/2026;PL;0158;2026;Projeto de PL nº 0158/2026 - Descrição do projeto número 158;Ver. JOSÉ POLICE NETO (PSDB);Ver. JOSÉ POLICE NETO (PSDB);06/02/2026 00:00:00;FIN;Recebido de SGP26;31/03/2026 00:00;Secretaria (SGP51);Recebido;38;23
PLO 0159/2026;PLO;0159;2026;Projeto de PLO nº 0159/2026 - Descrição do projeto número 159;Ver. LUNA ZARATTINI (PT);Ver. SONINHA FRANCISCHINI (PL);06/03/2026 00:00:00;FIN;Recebido de SGP79;25/04/2026 00:00;Secretaria (SGP97);Recebido;64;26
PDL 0160/2026;PDL;0160;2026;Projeto de PDL nº 0160/2026 - Descrição do projeto número 160;Ver. EDISON SANTOS (PDT);Ver. MILTON COELHO (PP);12/05/2026 00:00:00;FIN;Recebido de SGP33;11/01/2026 00:00;Secretaria (SGP31);Encaminhado para Análise;72;23
PL 0161/2026;PL;0161;2026;Projeto de PL nº 0161/2026 - Descrição do projeto número 161;Ver. TONINHO PAIVA (REPUBLICANOS);Ver. MILTON COELHO (PP);05/05/2026 00:00:00;FIN;Recebido de SGP66;20/05/2026 00:00;Secretaria (SGP96);Aprovado;6;22
PDL 0162/2026;PDL;0162;2026;Projeto de PDL nº 0162/2026 - Descrição do projeto número 162;Ver. SONINHA FRANCISCHINI (PL);Sem Relator Designado;28/01/2026 00:00:00;FIN;Recebido de SGP63;29/05/2026 00:00;Secretaria (SGP79);Recebido;77;20
PLO 0163/2026;PLO;0163;2026;Projeto de PLO nº 0163/2026 - Descrição do projeto número 163;Ver. LUNA ZARATTINI (PT);Ver. FERNANDO HOLIDAY (Constituinte Exclusivo);24/05/2026 00:00:00;FIN;Recebido de SGP94;08/03/2026 00:00;Secretaria (SGP88);Aguardando Pareceres;26;29
PLO 0164/2026;PLO;0164;2026;Projeto de PLO nº 0164/2026 - Descrição do projeto número 164;Ver. SONINHA FRANCISCHINI (PL);Ver. FERNANDO HOLIDAY (Constituinte Exclusivo);03/02/2026 00:00:00;FIN;Recebido de SGP47;20/02/2026 00:00;Secretaria (SGP95);Estudo para manifestação do relator;4;26
PR 0165/2026;PR;0165;2026;Projeto de PR nº 0165/2026 - Descrição do projeto número 165;Ver. TONINHO PAIVA (REPUBLICANOS);Ver. MILTON COELHO (PP);28/04/2026 00:00:00;FIN;Recebido de SGP36;08/04/2026 00:00;Secretaria (SGP36);Em votação;15;6
PDL 0166/2026;PDL;0166;2026;Projeto de PDL nº 0166/2026 - Descrição do projeto número 166;Ver. FERNANDO HOLIDAY (Constituinte Exclusivo);Ver. MILTON COELHO (PP);13/03/2026 00:00:00;FIN;Recebido de SGP70;18/02/2026 00:00;Secretaria (SGP43);Aguardando Notas Taquigráficas;53;5
PL 0167/2026;PL;0167;2026;Projeto de PL nº 0167/2026 - Descrição do projeto número 167;Ver. LUNA ZARATTINI (PT);Ver. MILTON COELHO (PP);10/01/2026 00:00:00;FIN;Recebido de SGP88;10/04/2026 00:00;Secretaria (SGP61);Recebido;71;26
PL 0168/2026;PL;0168;2026;Projeto de PL nº 0168/2026 - Descrição do projeto número 168;Ver. TONINHO PAIVA (REPUBLICANOS);Ver. SONINHA FRANCISCHINI (PL);16/05/2026 00:00:00;FIN;Recebido de SGP62;05/03/2026 00:00;Secretaria (SGP36);Encaminhado para Análise;4;30
PDL 0169/2026;PDL;0169;2026;Projeto de PDL nº 0169/2026 - Descrição do projeto número 169;Ver. EDISON SANTOS (PDT);Ver. LUNA ZARATTINI (PT);05/02/2026 00:00:00;FIN;Recebido de SGP63;18/05/2026 00:00;Secretaria (SGP62);Aguardando Pareceres;71;4
PL 0170/2026;PL;0170;2026;Projeto de PL nº 0170/2026 - Descrição do projeto número 170;Ver. DELEGADO JOÃO PAULO (PSD);Ver. SONINHA FRANCISCHINI (PL);20/05/2026 00:00:00;FIN;Recebido de SGP13;13/03/2026 00:00;Secretaria (SGP26);Rejeitado;62;10
PL 0171/2026;PL;0171;2026;Projeto de PL nº 0171/2026 - Descrição do projeto número 171;Ver. CRIS MONTERO (Novo);Sem Relator Designado;04/04/2026 00:00:00;FIN;Recebido de SGP45;27/01/2026 00:00;Secretaria (SGP81);Encaminhado para Análise;27;15
PL 0172/2026;PL;0172;2026;Projeto de PL nº 0172/2026 - Descrição do projeto número 172;Ver. EDISON SANTOS (PDT);Ver. TONINHO PAIVA (REPUBLICANOS);17/05/2026 00:00:00;FIN;Recebido de SGP52;06/01/2026 00:00;Secretaria (SGP46);Estudo para manifestação do relator;14;5
PL 0173/2026;PL;0173;2026;Projeto de PL nº 0173/2026 - Descrição do projeto número 173;Ver. LUNA ZARATTINI (PT);Ver. EDISON SANTOS (PDT);18/05/2026 00:00:00;FIN;Recebido de SGP96;25/03/2026 00:00;Secretaria (SGP87);Aguardando Notas Taquigráficas;45;24
PL 0174/2026;PL;0174;2026;Projeto de PL nº 0174/2026 - Descrição do projeto número 174;Ver. DELEGADO JOÃO PAULO (PSD);Ver. MILTON COELHO (PP);18/04/2026 00:00:00;FIN;Recebido de SGP43;08/02/2026 00:00;Secretaria (SGP83);Aprovado;119;30
PDL 0175/2026;PDL;0175;2026;Projeto de PDL nº 0175/2026 - Descrição do projeto número 175;Ver. SONINHA FRANCISCHINI (PL);Ver. TONINHO PAIVA (REPUBLICANOS);18/04/2026 00:00:00;FIN;Recebido de SGP67;24/01/2026 00:00;Secretaria (SGP57);Encaminhado para Análise;14;27
PR 0176/2026;PR;0176;2026;Projeto de PR nº 0176/2026 - Descrição do projeto número 176;Ver. LUNA ZARATTINI (PT);Ver. TONINHO PAIVA (REPUBLICANOS);20/04/2026 00:00:00;FIN;Recebido de SGP48;12/05/2026 00:00;Secretaria (SGP24);Estudo para manifestação do relator;39;4
PL 0177/2026;PL;0177;2026;Projeto de PL nº 0177/2026 - Descrição do projeto número 177;Ver. FERNANDO HOLIDAY (Constituinte Exclusivo);Sem Relator Designado;27/03/2026 00:00:00;FIN;Recebido de SGP34;23/03/2026 00:00;Secretaria (SGP71);Estudo para manifestação do relator;35;17
PLO 0178/2026;PLO;0178;2026;Projeto de PLO nº 0178/2026 - Descrição do projeto número 178;Ver. JOSÉ POLICE NETO (PSDB);Ver. LUNA ZARATTINI (PT);26/02/2026 00:00:00;FIN;Recebido de SGP24;06/05/2026 00:00;Secretaria (SGP47);Em votação;57;10
PLO 0179/2026;PLO;0179;2026;Projeto de PLO nº 0179/2026 - Descrição do projeto número 179;Ver. CRIS MONTERO (Novo);Sem Relator Designado;17/05/2026 00:00:00;FIN;Recebido de SGP31;05/03/2026 00:00;Secretaria (SGP37);Aguardando Notas Taquigráficas;98;3
